symbol,base_asset,quote_asset
BNBUSDC,BNB,USDC
BTCUSDC,BTC,USDC
ETHUSDC,ETH,USDC
XRPUSDC,XRP,USDC
XLMUSDC,XLM,USDC
LINKUSDC,LINK,USDC
LTCUSDC,LTC,USDC
TRXUSDC,TRX,USDC
ADAUSDC,ADA,USDC
NEOUSDC,NEO,USDC
ATOMUSDC,ATOM,USDC
ETCUSDC,ETC,USDC
ALGOUSDC,ALGO,USDC
DOGEUSDC,DOGE,USDC
ONTUSDC,ONT,USDC
BCHUSDC,BCH,USDC
SOLUSDC,SOL,USDC
ARBUSDC,ARB,USDC
AVAXUSDC,AVAX,USDC
DOTUSDC,DOT,USDC
INJUSDC,INJ,USDC
OPUSDC,OP,USDC
ORDIUSDC,ORDI,USDC
SUIUSDC,SUI,USDC
TIAUSDC,TIA,USDC
MANTAUSDC,MANTA,USDC
BLURUSDC,BLUR,USDC
ALTUSDC,ALT,USDC
SEIUSDC,SEI,USDC
JUPUSDC,JUP,USDC
FILUSDC,FIL,USDC
WLDUSDC,WLD,USDC
UNIUSDC,UNI,USDC
PIXELUSDC,PIXEL,USDC
STRKUSDC,STRK,USDC
PEPEUSDC,PEPE,USDC
SHIBUSDC,SHIB,USDC
NEARUSDC,NEAR,USDC
FETUSDC,FET,USDC
BONKUSDC,BONK,USDC
FLOKIUSDC,FLOKI,USDC
PENDLEUSDC,PENDLE,USDC
BOMEUSDC,BOME,USDC
JTOUSDC,JTO,USDC
WIFUSDC,WIF,USDC
CKBUSDC,CKB,USDC
ENAUSDC,ENA,USDC
ETHFIUSDC,ETHFI,USDC
YGGUSDC,YGG,USDC
CFXUSDC,CFX,USDC
RUNEUSDC,RUNE,USDC
SAGAUSDC,SAGA,USDC
APTUSDC,APT,USDC
GALAUSDC,GALA,USDC
STXUSDC,STX,USDC
ICPUSDC,ICP,USDC
OMNIUSDC,OMNI,USDC
TRBUSDC,TRB,USDC
ARKMUSDC,ARKM,USDC
ARUSDC,AR,USDC
BBUSDC,BB,USDC
CRVUSDC,CRV,USDC
PEOPLEUSDC,PEOPLE,USDC
REZUSDC,REZ,USDC
ENSUSDC,ENS,USDC
LDOUSDC,LDO,USDC
NOTUSDC,NOT,USDC
TNSRUSDC,TNSR,USDC
ZKUSDC,ZK,USDC
ZROUSDC,ZRO,USDC
IOUSDC,IO,USDC
RENDERUSDC,RENDER,USDC
TONUSDC,TON,USDC
DOGSUSDC,DOGS,USDC
RAREUSDC,RARE,USDC
SLFUSDC,SLF,USDC
AAVEUSDC,AAVE,USDC
POLUSDC,POL,USDC
ACTUSDC,ACT,USDC
NEIROUSDC,NEIRO,USDC
PNUTUSDC,PNUT,USDC
CATIUSDC,CATI,USDC
HBARUSDC,HBAR,USDC
OMUSDC,OM,USDC
RAYUSDC,RAY,USDC
TAOUSDC,TAO,USDC
APEUSDC,APE,USDC
EIGENUSDC,EIGEN,USDC
MEMEUSDC,MEME,USDC
CETUSUSDC,CETUS,USDC
COWUSDC,COW,USDC
DYDXUSDC,DYDX,USDC
HMSTRUSDC,HMSTR,USDC
TURBOUSDC,TURBO,USDC
KAIAUSDC,KAIA,USDC
SANDUSDC,SAND,USDC
CHZUSDC,CHZ,USDC
PYTHUSDC,PYTH,USDC
RSRUSDC,RSR,USDC
WUSDC,W,USDC
XTZUSDC,XTZ,USDC
ACXUSDC,ACX,USDC
ORCAUSDC,ORCA,USDC
HIVEUSDC,HIVE,USDC
IDEXUSDC,IDEX,USDC
TLMUSDC,TLM,USDC
PENGUUSDC,PENGU,USDC
BIOUSDC,BIO,USDC
MOVEUSDC,MOVE,USDC
PHAUSDC,PHA,USDC
STEEMUSDC,STEEM,USDC
USUALUSDC,USUAL,USDC
AIXBTUSDC,AIXBT,USDC
CGPTUSDC,CGPT,USDC
